state, s, number of districts, time out 
MS,6, 1,False
MS,15, 2,False
LA,14, 2,False
LA,15, 2,False
LA,16, 3,False
SC,13, 1,False
SC,14, 2,False
AL,14, 2,False
MD,14, 4,False
MO,14, 0,False
MO,15, 0,False
MO,16, 0,False
MO,17, 0,False
MO,18, 0,False
MO,19, 0,False
MO,20, 0,False
MO,21, 0,False
MO,22, 0,False
MO,23, 0,False
MO,24, 0,False
MO,25, 0,False
MO,26, 0,False
MO,27, 0,False
MO,28, 1,False
TN,14, 1,False
TN,15, 1,False
TN,16, 1,False
TN,17, 1,False
TN,18, 1,False
TN,19, 1,False
TN,20, 1,False
TN,21, 1,False
TN,22, 1,False
TN,23, 1,False
TN,24, 1,False
TN,25, 1,False
TN,26, 1,False
TN,27, 1,False
TN,28, 1,False
TN,29, 1,False
TN,30, 1,False
TN,31, 1,False
TN,32, 1,False
TN,33, 2,False
VA,13, 1,False
VA,14, 1,False
VA,15, 1,False
VA,16, 1,False
VA,17, 1,False
VA,18, 1,False
VA,19, 2,False
NJ,12, 1,False
MI,14, 0,False
MI,15, 1,False
MI,16, 2,False
NC,13, 0,False
NC,14, 0,False
NC,15, 0,False
NC,16, 1,False
NC,17, 1,False
NC,18, 2,False
NC,19, 2,False
NC,20, 2,False
NC,21, 2,False
NC,22, 2,False
NC,23, 2,False
NC,24, 2,False
NC,25, 3,False
GA,14, 6,False
GA,15, 6,False
GA,16, 7,False
OH,13, 0,False
OH,14, 0,False
OH,15, 0,False
OH,16, 0,False
OH,17, 0,False
OH,18, 1,False
OH,19, 1,False
OH,20, 1,False
OH,21, 1,False
OH,22, 1,False
OH,23, 1,False
OH,24, 1,False
OH,25, 1,False
OH,26, 2,False
IL,13, 2,False
IL,14, 2,False
IL,15, 2,False
IL,16, 3,False
PA,13, 1,False
PA,14, 1,False
PA,15, 1,False
PA,16, 1,False
PA,17, 1,False
PA,18, 1,False
PA,19, 1,False
PA,20, 1,False
PA,21, 1,False
PA,22, 1,False
PA,23, 1,False
PA,24, 1,False
PA,25, 1,False
PA,26, 1,False
PA,27, 2,False
