State, parcel, lower_bound_s, iterations, time
MS, county, 6, 6, 0.15,, 
MS, tract, 15, 5, 14.63,, 
LA, tract, 14, 5, 39.54,, 
SC, tract, 13, 5, 35.78,, 
AL, tract, 14, 5, 40.39,, 
MD, tract, 14, 5, 46.31,, 
MO, tract, 14, 5, 52.25,, 
TN, tract, 14, 6, 53.05,, 
VA, tract, 13, 6, 92.43,, 
NJ, tract, 12, 6, 103.57,, 
MI, tract, 14, 5, 191.54,, 
NC, tract, 13, 6, 147.65,, 
GA, tract, 14, 5, 175.89,, 
OH, tract, 13, 5, 201.24,, 
IL, tract, 13, 6, 251.02,, 
PA, tract, 13, 6, 216.53,, 
NM, county, 4, 2, 0.01,, 
NM, county, 4, 2, 0.01,, 
NM, county, 4, 4, 0.02,, 
NJ, tract, 12, 6, 103.78,, 
NM, tract, 12, 3, 4.81,, 
TX, tract, 12, 6, 1518.15,, 
