State, parcel_level, s, pass, number of parcels, number of fixings, percent fixed, time, 
IL,tract,21,1,"3,265","384",11.76,"14.03"
TX,tract,20,1,"6,896","0",0.00,"18.10"
IL,tract,20,1,"3,265","466",14.27,"13.38"
NM,county,06,3,"33","1",3.03,"0.01"
IL,tract,15,3,"3,265","1,659",50.81,"1,078.66"
TX,tract,14,3,"6,896","714",10.35,"6,680.23"
NM,county,07,3,"33","1",3.03,"0.02"
IL,tract,14,3,"3,265","1,890",57.89,"868.17"
TX,tract,15,3,"6,896","367",5.32,"6,487.81"
NM,county,07,2,"33","1",3.03,"0.03"
TX,tract,15,2,"6,896","168",2.44,"2,555.82"
IL,tract,14,2,"3,265","1,306",40.00,"3,719.43"
NM,county,06,2,"33","1",3.03,"0.03"
TX,tract,14,2,"6,896","294",4.26,"2,747.65"
IL,tract,15,2,"3,265","1,207",36.97,"1,528.55"
IL,tract,20,2,"3,265","851",26.06,"1,097.29"
IL,tract,21,2,"3,265","797",24.41,"1,289.17"
TX,tract,20,2,"6,896","0",0.00,"1,584.39"
TX,tract,14,1,"6,896","98",1.42,"12.30"
IL,tract,15,1,"3,265","856",26.22,"9.27"
NM,county,06,1,"33","1",3.03,"0.00"
TX,tract,15,1,"6,896","54",0.78,"12.41"
IL,tract,14,1,"3,265","947",29.00,"9.05"
NM,county,07,1,"33","1",3.03,"0.00"
TX,tract,20,3,"6,896","0",0.00,"10,441.45"
IL,tract,21,3,"3,265","895",27.41,"2,540.99"
IL,tract,20,3,"3,265","1,003",30.72,"2,467.48"
CO,tract,11,2,"1,447","1,447",100.00,"0.11"
NJ,tract,24,3,"2,181","174",7.98,"2,256.47"
NJ,tract,25,3,"2,181","122",5.59,"2,201.79"
AZ,tract,16,3,"1,765","0",0.00,"5,612.10"
IL,tract,36,1,"3,265","2",0.06,"21.11"
IL,tract,37,1,"3,265","2",0.06,"23.37"
NM,county,11,3,"33","1",3.03,"0.02"
NM,county,10,3,"33","1",3.03,"0.02"
NM,county,10,2,"33","1",3.03,"0.03"
NM,county,11,2,"33","1",3.03,"0.03"
AZ,tract,16,2,"1,765","0",0.00,"996.59"
NJ,tract,25,2,"2,181","87",3.99,"3,444.76"
NJ,tract,24,2,"2,181","114",5.23,"3,653.32"
CO,tract,11,3,"1,447","1,447",100.00,"0.00"
CO,tract,11,1,"1,447","1,235",85.35,"5.59"
IL,tract,37,2,"3,265","7",0.21,"2,183.10"
IL,tract,36,2,"3,265","20",0.61,"2,411.53"
NM,county,11,1,"33","1",3.03,"0.00"
NM,county,10,1,"33","1",3.03,"0.01"
IL,tract,36,3,"3,265","20",0.61,"6,458.63"
IL,tract,37,3,"3,265","7",0.21,"6,962.33"
AZ,tract,16,1,"1,765","0",0.00,"3.55"
NJ,tract,24,1,"2,181","44",2.02,"7.70"
NJ,tract,25,1,"2,181","28",1.28,"7.12"
NJ,tract,17,1,"2,181","455",20.86,"10.21"
CO,tract,17,2,"1,447","15",1.04,"47,960.73"
NJ,tract,16,1,"2,181","585",26.82,"10.06"
CO,tract,16,2,"1,447","78",5.39,"55,810.74"
NJ,tract,23,3,"2,181","684",31.36,"1,693.51"
NJ,tract,22,3,"2,181","763",34.98,"1,398.07"
